FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N MOSCAS / VISITA,TEMPERATURA,ESPECIE,,,,
11/11/2020,19,28,0,1,36,MOSCA,,,,
11/11/2020,19,29,1,0,36,ABEJA,,,,
11/11/2020,19,30,1,0,36,ABEJA,,,,
11/11/2020,19,51,1,0,33,ABEJA,,,,
12/11/2020,7,0,0,1,16,MOSCA,,,,
12/11/2020,7,0,0,1,16,MOSCA,,,,
12/11/2020,7,1,0,1,16,MOSCA,,,,
12/11/2020,7,1,0,1,17,MOSCA,,,,
12/11/2020,7,2,0,1,17,MOSCA,,,,
12/11/2020,7,2,0,1,17,MOSCA,,,,
12/11/2020,7,3,0,1,17,MOSCA,,,,
12/11/2020,7,3,0,1,17,MOSCA,,,,
12/11/2020,7,4,0,1,17,MOSCA,,,,
12/11/2020,7,4,0,1,17,MOSCA,,,,
12/11/2020,7,5,0,1,17,MOSCA,,,,
12/11/2020,7,5,0,1,17,MOSCA,,,,
12/11/2020,7,6,0,1,17,MOSCA,,,,
12/11/2020,7,6,0,1,17,MOSCA,,,,
12/11/2020,7,7,0,1,17,MOSCA,,,,
12/11/2020,7,7,0,1,17,MOSCA,,,,
12/11/2020,7,8,0,1,17,MOSCA,,,,
12/11/2020,7,8,0,1,17,MOSCA,,,,
12/11/2020,7,9,0,1,17,MOSCA,,,,
12/11/2020,7,9,0,1,17,MOSCA,,,,
12/11/2020,7,10,0,1,17,MOSCA,,,,
12/11/2020,7,10,0,1,17,MOSCA,,,,
12/11/2020,7,11,0,1,17,MOSCA,,,,
12/11/2020,7,11,0,1,17,MOSCA,,,,
12/11/2020,7,12,0,1,17,MOSCA,,,,
12/11/2020,7,12,0,1,17,MOSCA,,,,
12/11/2020,7,13,0,1,17,MOSCA,,,,
12/11/2020,7,13,0,1,17,MOSCA,,,,
12/11/2020,7,14,0,1,17,MOSCA,,,,
12/11/2020,7,14,0,1,17,MOSCA,,,,
12/11/2020,7,15,0,1,17,MOSCA,,,,
12/11/2020,7,15,0,1,17,MOSCA,,,,
12/11/2020,7,16,0,1,17,MOSCA,,,,
12/11/2020,7,16,0,1,17,MOSCA,,,,
12/11/2020,7,17,0,1,17,MOSCA,,,,
12/11/2020,7,17,0,1,17,MOSCA,,,,
12/11/2020,7,18,0,1,17,MOSCA,,,,
12/11/2020,7,18,0,1,17,MOSCA,,,,
12/11/2020,7,19,0,1,17,MOSCA,,,,
12/11/2020,7,19,0,1,17,MOSCA,,,,
12/11/2020,7,20,0,1,17,MOSCA,,,,
12/11/2020,7,20,0,1,17,MOSCA,,,,
12/11/2020,7,21,0,1,17,MOSCA,,,,
12/11/2020,7,21,0,1,17,MOSCA,,,,
12/11/2020,7,22,0,1,17,MOSCA,,,,
12/11/2020,7,22,0,1,17,MOSCA,,,,
12/11/2020,7,23,0,1,17,MOSCA,,,,
12/11/2020,7,23,0,1,17,MOSCA,,,,
12/11/2020,7,24,0,1,17,MOSCA,,,,
12/11/2020,7,24,0,1,17,MOSCA,,,,
12/11/2020,7,25,0,1,18,MOSCA,,,,
12/11/2020,7,25,0,1,18,MOSCA,,,,
12/11/2020,7,26,0,1,18,MOSCA,,,,
12/11/2020,7,26,0,1,18,MOSCA,,,,
12/11/2020,7,27,0,2,19,MOSCA,,,,
12/11/2020,7,27,0,1,19,MOSCA,,,,
12/11/2020,7,28,0,1,19,MOSCA,,,,
